gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,period,teamname,teamattackingdirection,possessioneventtype,passerplayerid,receiverplayerid,passtype,passoutcometype,pressuretype
3813,6495889,6372129,187.521,188.155,0.634,188.155,2,1,England,R,PA,1377,10,5,1,3
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,1,England,R,PA,10,123,5,1,2
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,1,England,R,PA,123,118,5,1,2
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,1,England,R,PA,118,10,5,1,2
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,1,England,R,PA,10,4677,5,1,2
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,1,England,R,PA,4677,10,5,1,2
3813,6495902,6372143,205.405,206.306,0.901,206.306,2,1,England,R,PA,10,265,5,1,2
3813,6495903,6372144,209.109,209.109,0.000,209.109,2,1,England,R,PA,265,123,5,1,3
3813,6495905,6372146,210.611,211.879,1.268,211.879,2,1,England,R,PA,123,118,5,1,3
3813,6495908,6372150,213.447,215.716,2.269,215.716,2,1,England,R,PA,118,10,5,1,2
3813,6495914,6372157,217.317,223.290,5.973,223.290,2,1,England,R,PA,10,118,5,1,3
3813,6495918,6372161,225.192,226.860,1.668,226.860,2,1,England,R,PA,118,123,5,1,2
3813,6495920,6372162,228.061,228.829,0.768,228.829,2,1,England,R,PA,123,105,5,1,3
3813,6495964,6372204,230.063,231.098,1.035,231.098,2,1,England,R,PA,105,10,5,1,3
3813,6495924,6372166,232.499,236.170,3.671,236.170,2,1,England,R,PA,10,1377,5,1,3
3813,6495933,6372176,240.574,240.574,0.000,240.574,4,1,England,R,PA,4677,10,5,1,3
3813,6495936,6372179,241.742,242.910,1.168,242.910,4,1,England,R,PA,10,118,5,1,2
3813,6495941,6372186,250.918,253.353,2.435,253.353,4,1,England,R,PA,123,265,5,1,3
3813,6495943,6372187,254.521,255.722,1.201,255.722,4,1,England,R,PA,265,10,5,1,2
3813,6495948,6372190,257.024,260.260,3.236,260.260,4,1,England,R,PA,10,265,5,1,2
3813,6495951,6372192,261.128,263.330,2.202,263.330,4,1,England,R,PA,265,4677,5,1,3
3813,6495968,6372209,264.698,265.933,1.235,265.933,4,1,England,R,PA,4677,1377,5,1,2
3813,6495971,6372212,266.733,267.434,0.701,267.434,4,1,England,R,PA,1377,163,5,1,3
3813,6495974,6372215,268.402,269.770,1.368,269.770,4,1,England,R,PA,163,4677,5,1,3
3813,6495976,6372217,270.938,270.938,0.000,270.938,4,1,England,R,PA,4677,1377,5,1,2
3813,6495982,6372224,271.972,273.240,1.268,273.240,4,1,England,R,PA,1377,4677,5,1,3
3813,6495986,6372228,274.107,274.708,0.601,274.708,4,1,England,R,PA,4677,163,5,1,2
3813,6495987,6372229,275.576,275.576,0.000,275.576,4,1,England,R,PA,163,4677,5,1,3
3813,6495990,6372232,276.577,276.577,0.000,276.577,4,1,England,R,PA,4677,10,5,1,2
3813,6495993,6372236,277.911,279.079,1.168,279.079,4,1,England,R,PA,10,118,5,1,2
3813,6495998,6372241,280.481,282.549,2.068,282.549,4,1,England,R,PA,118,10,5,1,2
3813,6496001,6372244,284.051,285.686,1.635,285.686,4,1,England,R,PA,10,4677,5,1,2
3813,6496005,6372248,286.854,290.791,3.937,290.791,4,1,England,R,PA,4677,1377,4,1,2
3813,6496015,6372259,297.965,299.366,1.401,299.366,6,1,England,R,PA,4677,265,5,1,3
3813,6496016,6372260,300.534,300.534,0.000,300.534,6,1,England,R,PA,265,123,5,1,2
3813,6496024,6372267,302.002,303.470,1.468,303.470,6,1,England,R,PA,123,,5,0,3
3813,6496130,6372374,420.087,420.087,0.000,420.087,10,1,England,R,PA,118,,1,2,2
3813,6496171,6372417,447.414,448.282,0.868,448.282,12,1,England,R,PA,265,1377,5,1,3
3813,6496175,6372422,448.882,448.882,0.000,448.882,12,1,England,R,PA,1377,118,5,1,3
3813,6496181,6372428,452.586,452.586,0.000,452.586,12,1,England,R,PA,118,123,5,1,2
3813,6496186,6372433,454.321,457.224,2.903,457.224,12,1,England,R,PA,123,265,5,1,2
3813,6496191,6372437,458.926,460.060,1.134,460.060,12,1,England,R,PA,265,10,5,1,2
3813,6496197,6372442,461.595,464.765,3.170,464.765,12,1,England,R,PA,10,163,5,1,3
3813,6496201,6372446,465.999,467.568,1.569,467.568,12,1,England,R,PA,163,10,5,1,3
3813,6496205,6372449,470.037,473.240,3.203,473.240,12,1,England,R,PA,10,118,5,1,3
3813,6496209,6372453,474.808,479.813,5.005,479.813,12,1,England,R,PA,118,25,5,1,2
3813,6496213,6372457,480.747,480.747,0.000,480.747,12,1,England,R,PA,25,118,5,1,3
3813,6496218,6372462,482.282,485.686,3.404,485.686,12,1,England,R,PA,118,10,5,1,2
3813,6496224,6372468,486.820,490.123,3.303,490.123,12,1,England,R,PA,10,4677,5,1,3
3813,6496231,6372474,491.058,491.058,0.000,491.058,12,1,England,R,PA,4677,118,5,1,3
3813,6496237,6372480,493.193,495.829,2.636,495.829,12,1,England,R,PA,118,123,5,1,2
3813,6496242,6372486,497.364,499.666,2.302,499.666,12,1,England,R,PA,123,4677,5,1,3
3813,6496248,6372492,500.601,503.904,3.303,503.904,12,1,England,R,PA,4677,10,5,1,0
3813,6496249,6372493,505.239,507.107,1.868,507.107,12,1,England,R,PA,10,163,5,1,3
3813,6496251,6372495,507.941,508.442,0.501,508.442,12,1,England,R,PA,163,265,5,1,3
3813,6496256,6372502,509.510,509.877,0.367,509.877,12,1,England,R,PA,265,4677,5,1,2
3813,6496260,6372506,510.744,513.280,2.536,513.280,12,1,England,R,PA,4677,105,5,1,2
3813,6496271,6372517,513.914,515.082,1.168,515.082,12,1,England,R,PA,105,123,6,1,3
3813,6496286,6372534,521.154,521.154,0.000,521.154,12,1,England,R,PA,265,1377,5,1,3
3813,6496290,6372538,521.955,523.190,1.235,523.190,12,1,England,R,PA,1377,118,5,1,3
3813,6496295,6372544,525.225,526.093,0.868,526.093,12,1,England,R,PA,118,4677,5,1,2
3813,6496298,6372547,527.094,527.694,0.600,527.694,12,1,England,R,PA,4677,10,5,1,3
3813,6496304,6372553,530.430,530.430,0.000,530.430,12,1,England,R,PA,10,1377,5,1,1
3813,6496314,6372565,531.565,532.566,1.001,532.566,12,1,England,R,PA,1377,,6,0,3
3813,6496348,6372597,563.730,565.699,1.969,565.699,16,1,England,R,PA,10,123,5,1,2
3813,6496354,6372603,567.167,568.602,1.435,568.602,16,1,England,R,PA,123,25,5,1,2
3813,6496357,6372607,569.803,569.803,0.000,569.803,16,1,England,R,PA,25,123,5,1,3
3813,6496362,6372612,571.438,572.272,0.834,572.272,16,1,England,R,PA,123,118,5,1,3
3813,6496371,6372621,573.173,574.174,1.001,574.174,16,1,England,R,PA,118,10,5,1,2
3813,6496377,6372628,575.742,576.743,1.001,576.743,16,1,England,R,PA,10,265,5,1,2
3813,6496383,6372634,577.678,577.678,0.000,577.678,16,1,England,R,PA,265,163,5,1,3
3813,6496445,6372703,611.445,611.445,0.000,611.445,17,1,England,R,PA,1377,1,6,1,2
3813,6497095,6373368,1122.389,1122.389,0.000,1122.389,19,1,England,R,PA,265,25,1,1,3
3813,6496488,6372740,1123.557,1123.590,0.033,1123.590,19,1,England,R,PA,25,1,2,1,3
3813,6496491,6372745,1124.124,1124.625,0.501,1124.625,19,1,England,R,PA,1,105,5,1,3
3813,6496499,6372757,1125.826,1132.199,6.373,1132.199,19,1,England,R,PA,105,265,5,1,3
3813,6496505,6372760,1133.166,1134.134,0.968,1134.134,19,1,England,R,PA,265,118,5,1,0
3813,6496507,6372776,1135.169,1143.377,8.208,1143.377,19,1,England,R,PA,118,123,5,1,3
3813,6496521,6372780,1144.411,1145.145,0.734,1145.145,19,1,England,R,PA,123,,5,2,3
3813,6496543,6372804,1334.968,1334.968,0.000,1334.968,21,1,England,R,PA,123,118,5,1,2
3813,6496580,6372847,1339.373,1339.373,0.000,1339.373,21,1,England,R,PA,118,10,5,1,2
3813,6496584,6372851,1341.108,1342.910,1.802,1342.910,21,1,England,R,PA,10,118,5,1,3
3813,6496587,6372855,1344.945,1347.181,2.236,1347.181,21,1,England,R,PA,118,10,5,1,2
3813,6496592,6372860,1348.515,1350.050,1.535,1350.050,21,1,England,R,PA,10,1377,5,1,1
3813,6496595,6372864,1351.185,1352.152,0.967,1352.152,21,1,England,R,PA,1377,163,5,1,0
3813,6496601,6372871,1353.353,1355.522,2.169,1355.522,21,1,England,R,PA,163,10,5,1,3
3813,6496606,6372877,1357.291,1358.926,1.635,1358.926,21,1,England,R,PA,10,123,5,1,2
3813,6496613,6372884,1365.499,1365.499,0.000,1365.499,21,1,England,R,PA,105,25,5,1,3
3813,6496618,6372890,1366.700,1368.702,2.002,1368.702,21,1,England,R,PA,25,,5,2,0
3813,6496632,6372906,1378.979,1380.247,1.268,1380.247,23,1,England,R,PA,105,1377,5,1,3
3813,6496635,6372908,1382.382,1382.382,0.000,1382.382,23,1,England,R,PA,1377,10,5,1,2
3813,6496639,6372911,1383.951,1384.651,0.700,1384.651,23,1,England,R,PA,10,169,5,1,3
3813,6496644,6372916,1386.286,1387.588,1.302,1387.588,23,1,England,R,PA,169,,1,2,2
3813,6496749,6373027,1486.687,1486.687,0.000,1486.687,29,1,England,R,PA,1377,163,5,1,2
3813,6496771,6373044,1502.769,1502.769,0.000,1502.769,30,1,England,R,PA,265,1377,5,1,0
3813,6496775,6373048,1503.670,1503.670,0.000,1503.670,30,1,England,R,PA,1377,118,5,1,2
3813,6496779,6373051,1505.706,1508.175,2.469,1508.175,30,1,England,R,PA,118,123,5,1,2
3813,6496782,6373054,1510.077,1512.012,1.935,1512.012,30,1,England,R,PA,123,25,5,1,2
3813,6496785,6373059,1513.146,1513.146,0.000,1513.146,30,1,England,R,PA,25,123,5,1,3
3813,6496793,6373067,1514.815,1517.985,3.170,1517.985,30,1,England,R,PA,123,118,5,1,2
3813,6496798,6373073,1519.019,1521.154,2.135,1521.154,30,1,England,R,PA,118,10,5,1,2
3813,6496803,6373079,1523.123,1526.727,3.604,1526.727,30,1,England,R,PA,10,118,5,1,3
3813,6496808,6373084,1529.596,1529.596,0.000,1529.596,30,1,England,R,PA,118,123,5,1,3
3813,6496814,6373089,1530.998,1532.332,1.334,1532.332,30,1,England,R,PA,123,,5,2,3
3813,6496828,6373105,1538.071,1538.071,0.000,1538.071,32,1,England,R,PA,118,105,5,1,3
3813,6496838,6373116,1539.506,1539.506,0.000,1539.506,32,1,England,R,PA,105,,5,0,3
3813,6496862,6373138,1555.923,1555.923,0.000,1555.923,33,1,England,R,PA,265,10,5,1,2
3813,6496868,6373145,1557.991,1559.859,1.868,1559.859,33,1,England,R,PA,10,105,5,1,3
3813,6496873,6373149,1561.495,1561.495,0.000,1561.495,33,1,England,R,PA,105,123,5,1,3
3813,6496877,6373153,1563.163,1564.364,1.201,1564.364,33,1,England,R,PA,123,25,5,1,3
3813,6496882,6373157,1565.566,1565.566,0.000,1565.566,33,1,England,R,PA,25,123,6,1,3
3813,6496887,6373704,1568.368,1568.368,0.000,1568.368,33,1,England,R,PA,123,,0,0,3
3813,6496940,6373216,1602.569,1602.569,0.000,1602.569,35,1,England,R,PA,118,169,5,1,3
3813,6496943,6373218,1605.706,1606.673,0.967,1606.673,35,1,England,R,PA,169,10,5,1,2
3813,6496946,6373221,1608.075,1608.075,0.000,1608.075,35,1,England,R,PA,10,169,5,1,2
3813,6496952,6373227,1611.078,1611.078,0.000,1611.078,35,1,England,R,PA,169,,1,6,3
3813,6496975,6373249,1634.735,1634.735,0.000,1634.735,38,1,England,R,PA,118,265,5,1,2
3813,6496980,6373254,1635.702,1636.870,1.168,1636.870,38,1,England,R,PA,265,123,5,1,2
3813,6496984,6373258,1637.938,1638.672,0.734,1638.672,38,1,England,R,PA,123,265,5,1,3
3813,6497015,6373283,1667.000,1667.867,0.867,1667.867,39,1,England,R,PA,4677,265,5,1,3
3813,6497020,6373289,1668.869,1671.572,2.703,1671.572,39,1,England,R,PA,265,1377,5,1,2
3813,6497131,6373407,1716.850,1719.753,2.903,1719.753,43,1,England,R,PA,10,265,5,1,2
3813,6497139,6373414,1720.954,1726.326,5.372,1726.326,43,1,England,R,PA,265,123,5,1,3
3813,6497142,6373419,1727.728,1729.796,2.068,1729.796,43,1,England,R,PA,123,265,5,1,3
3813,6497146,6373423,1730.864,1731.965,1.101,1731.965,43,1,England,R,PA,265,10,5,1,2
3813,6497148,6373424,1733.033,1734.902,1.869,1734.902,43,1,England,R,PA,10,163,5,1,2
3813,6497154,6373429,1736.603,1739.373,2.770,1739.373,43,1,England,R,PA,163,4677,5,1,3
3813,6497157,6373431,1740.674,1741.208,0.534,1741.208,43,1,England,R,PA,4677,1377,5,1,3
3813,6497159,6373433,1742.543,1743.610,1.067,1743.610,43,1,England,R,PA,1377,163,5,1,3
3813,6497203,6373482,1789.089,1790.791,1.702,1790.791,46,1,England,R,PA,105,,6,2,3
3813,6497210,6373491,1794.394,1794.394,0.000,1794.394,46,1,England,R,PA,105,163,5,1,2
3813,6497230,6373515,1830.464,1830.464,0.000,1830.464,48,1,England,R,PA,265,169,5,1,3
3813,6497232,6373516,1832.165,1833.233,1.068,1833.233,48,1,England,R,PA,169,265,5,1,3
3813,6497237,6373521,1834.535,1836.670,2.135,1836.670,48,1,England,R,PA,265,1377,5,1,3
3813,6497240,6373524,1839.473,1839.473,0.000,1839.473,48,1,England,R,PA,1377,163,2,1,2
3813,6497250,6373532,1861.762,1861.762,0.000,1861.762,49,1,England,R,PA,1377,265,5,1,2
3813,6497253,6373535,1863.564,1865.098,1.534,1865.098,49,1,England,R,PA,265,123,5,1,1
3813,6497256,6373538,1867.100,1870.204,3.104,1870.204,49,1,England,R,PA,123,118,5,1,0
3813,6497258,6373540,1871.538,1873.774,2.236,1873.774,49,1,England,R,PA,118,1377,5,1,2
3813,6497261,6373544,1877.144,1880.514,3.370,1880.514,49,1,England,R,PA,1377,10,5,1,3
3813,6497265,6373548,1882.216,1886.019,3.803,1886.019,49,1,England,R,PA,10,118,5,1,3
3813,6497267,6373550,1887.554,1888.789,1.235,1888.789,49,1,England,R,PA,118,10,5,1,3
3813,6497270,6373553,1892.092,1892.092,0.000,1892.092,49,1,England,R,PA,10,1377,5,1,3
3813,6497272,6373555,1893.293,1893.894,0.601,1893.894,49,1,England,R,PA,1377,169,5,1,3
3813,6497274,6373557,1896.463,1896.930,0.467,1896.930,49,1,England,R,PA,169,10,5,1,2
3813,6497277,6373560,1898.999,1900.834,1.835,1900.834,49,1,England,R,PA,10,123,5,1,2
3813,6497279,6373562,1902.603,1906.707,4.104,1906.707,49,1,England,R,PA,123,265,5,1,2
3813,6497281,6373564,1909.476,1909.476,0.000,1909.476,49,1,England,R,PA,265,10,5,1,2
3813,6497284,6373567,1910.844,1912.279,1.435,1912.279,49,1,England,R,PA,10,1377,5,1,2
3813,6497286,6373570,1913.647,1914.581,0.934,1914.581,49,1,England,R,PA,1377,163,6,1,2
3813,6497287,6373571,1917.818,1919.219,1.401,1919.219,49,1,England,R,PA,163,1377,5,1,3
3813,6497289,6373575,1920.120,1921.221,1.101,1921.221,49,1,England,R,PA,1377,163,5,1,3
3813,6497292,6373578,1922.055,1922.589,0.534,1922.589,49,1,England,R,PA,163,1377,5,1,3
3813,6497294,6373580,1923.257,1923.924,0.667,1923.924,49,1,England,R,PA,1377,25,5,1,3
3813,6497297,6373584,1925.291,1925.291,0.000,1925.291,49,1,England,R,PA,25,163,6,1,3
3813,6497307,6373594,1969.069,1969.069,0.000,1969.069,51,1,England,R,PA,123,,5,2,2
3813,6495875,6372112,1986.253,1987.821,1.568,1987.821,54,1,England,R,PA,265,169,5,1,3
3813,6495876,6372113,1990.524,1990.524,0.000,1990.524,54,1,England,R,PA,169,1377,5,1,2
3813,6495880,6372116,1991.859,1993.293,1.434,1993.293,54,1,England,R,PA,1377,4677,5,1,2
