gameid,gameeventid,possessioneventid,starttime,endtime,duration,eventtime,sequence,playerid,positiongrouptype,jerseynum,team,x,y,visibility,confidence,possessioneventtype,teamattackingdirection,period,teamname
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,13977,RCB,8,A,-20.463,-6.759,VISIBLE,MEDIUM,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,8561,CF,9,A,-14.401,-5.760,ESTIMATED,LOW,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,13970,MCB,15,A,4.784,-7.092,ESTIMATED,LOW,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,12235,CM,18,A,-7.219,-10.023,VISIBLE,HIGH,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,12222,LCB,19,A,6.681,-15.338,ESTIMATED,LOW,PA,R,1,England
3813,6495890,6372133,190.524,192.125,1.601,192.125,2,13982,CM,21,A,-7.362,1.033,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,169,GK,1,H,-39.331,2.598,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,123,LB,3,H,-13.002,25.042,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,265,CM,4,H,-13.113,4.099,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,10,RCB,5,H,-19.499,-7.562,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,118,LCB,6,H,-22.976,15.942,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,1,CF,9,H,8.792,0.458,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,25,LW,10,H,-1.72,29.661,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,1377,RB,12,H,-10.581,-15.648,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,163,RW,17,H,6.001,-21.253,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,105,AM,19,H,-9.121,18.355,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,4677,CM,22,H,-3.053,-9.462,VISIBLE,MEDIUM,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13968,GK,1,A,34.53,1.734,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13976,RWB,2,A,-0.674,28.326,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13971,LW,3,A,0.114,-3.538,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13975,LWB,5,A,9.1,-15.159,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,457,RW,7,A,-8.643,8.089,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13977,RCB,8,A,-10.002,14.949,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,8561,CF,9,A,-9.609,5.428,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13970,MCB,15,A,10.125,6.672,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,12235,CM,18,A,1.501,8.697,VISIBLE,HIGH,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,12222,LCB,19,A,10.53,-1.879,ESTIMATED,LOW,PA,R,1,England
3813,6495895,6372136,194.761,197.297,2.536,197.297,2,13982,CM,21,A,-4.779,21.423,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,169,GK,1,H,-38.575,1.655,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,123,LB,3,H,-11.97,26.454,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,265,CM,4,H,-16.154,1.607,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,10,RCB,5,H,-21.019,-8.535,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,118,LCB,6,H,-23.455,10.996,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,1,CF,9,H,10.719,-1.223,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,25,LW,10,H,4.762,31.013,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,1377,RB,12,H,-5.988,-23.883,VISIBLE,MEDIUM,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,163,RW,17,H,10.073,-20.903,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,105,AM,19,H,-5.226,16.599,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,4677,CM,22,H,0.594,-8.988,VISIBLE,MEDIUM,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13968,GK,1,A,34.904,1.154,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13976,RWB,2,A,6.806,27.958,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13971,LW,3,A,-3.037,-10.572,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13975,LWB,5,A,11.84,-16.711,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,457,RW,7,A,-6.413,15.130,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13977,RCB,8,A,-14.21,7.648,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,8561,CF,9,A,-8.514,1.632,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13970,MCB,15,A,11.43,3.958,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,12235,CM,18,A,-0.131,3.177,VISIBLE,HIGH,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,12222,LCB,19,A,11.764,-4.655,ESTIMATED,LOW,PA,R,1,England
3813,6495897,6372138,198.432,200.200,1.768,200.200,2,13982,CM,21,A,-3.634,15.422,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,169,GK,1,H,-36.898,-0.012,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,123,LB,3,H,-8.304,25.939,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,265,CM,4,H,-9.068,-4.033,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,10,RCB,5,H,-17.34,-15.306,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,118,LCB,6,H,-21.5,3.135,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,1,CF,9,H,12.483,-7.248,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,25,LW,10,H,9.244,27.974,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,1377,RB,12,H,3.785,-30.274,VISIBLE,MEDIUM,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,163,RW,17,H,12.232,-24.038,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,105,AM,19,H,0.608,10.944,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,4677,CM,22,H,-3.397,-15.176,VISIBLE,MEDIUM,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13968,GK,1,A,35.975,-1.098,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13976,RWB,2,A,11.265,23.932,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13971,LW,3,A,0.667,-20.108,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13975,LWB,5,A,12.794,-22.323,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,457,RW,7,A,-2.481,12.240,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13977,RCB,8,A,-10.965,-7.376,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,8561,CF,9,A,-4.169,-4.411,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13970,MCB,15,A,13.256,-3.024,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,12235,CM,18,A,0.938,-9.610,VISIBLE,HIGH,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,12222,LCB,19,A,13.618,-11.548,ESTIMATED,LOW,PA,R,1,England
3813,6495898,6372139,201.735,203.337,1.602,203.337,2,13982,CM,21,A,3.458,4.376,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,169,GK,1,H,-36.627,-0.580,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,123,LB,3,H,-7.158,25.458,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,265,CM,4,H,-9.671,-5.115,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,10,RCB,5,H,-17.066,-15.955,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,118,LCB,6,H,-20.417,1.543,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,1,CF,9,H,12.951,-8.619,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,25,LW,10,H,10.407,26.812,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,1377,RB,12,H,6.024,-30.872,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,163,RW,17,H,12.757,-24.640,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,105,AM,19,H,2.548,9.265,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,4677,CM,22,H,-6.892,-16.832,VISIBLE,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13968,GK,1,A,36.196,-1.458,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13976,RWB,2,A,12.157,22.143,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13971,LW,3,A,3.351,-22.238,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13975,LWB,5,A,13.066,-23.216,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,457,RW,7,A,-0.791,10.435,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13977,RCB,8,A,-9.345,-10.800,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,8561,CF,9,A,-2.998,-5.369,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,13970,MCB,15,A,13.749,-4.046,ESTIMATED,LOW,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,12235,CM,18,A,0.976,-12.694,VISIBLE,HIGH,PA,R,1,England
3813,6495899,6372140,204.304,204.304,0.000,204.304,2,12222,LCB,19,A,14.073,-12.908,ESTIMATED,LOW,PA,R,1,England
